		Withdrawal Agent WT6 issued withdrawawl of $82.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 11
		Withdrawal Agent WT7 issued withdrawawl of $77.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 12
		Withdrawal Agent WT5 issued withdrawawl of $84.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 17
		Withdrawal Agent WT6 issued withdrawawl of $97.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 19
		Withdrawal Agent WT10 issued withdrawawl of $79.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 21
Depositor Agent DT3 issued deposit of $435.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 23
		Withdrawal Agent WT9 issued withdrawawl of $89.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 24
		Withdrawal Agent WT6 issued withdrawawl of $83.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 27
		Withdrawal Agent WT10 issued withdrawawl of $82.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 28
Depositor Agent DT2 issued deposit of $377.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 30
		Withdrawal Agent WT5 issued withdrawawl of $89.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 31
		Withdrawal Agent WT10 issued withdrawawl of $80.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 39
		Withdrawal Agent WT9 issued withdrawawl of $83.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 43
		Withdrawal Agent WT3 issued withdrawawl of $97.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 50
		Withdrawal Agent WT1 issued withdrawawl of $84.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 51
		Withdrawal Agent WT7 issued withdrawawl of $79.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 52
Depositor Agent DT3 issued deposit of $376.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 54
		Withdrawal Agent WT6 issued withdrawawl of $88.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 69
		Withdrawal Agent WT2 issued withdrawawl of $89.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 73
		Withdrawal Agent WT10 issued withdrawawl of $98.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 74
Depositor Agent DT1 issued deposit of $382.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 76
		Withdrawal Agent WT1 issued withdrawawl of $89.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 77
		Withdrawal Agent WT2 issued withdrawawl of $76.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 80
		Withdrawal Agent WT1 issued withdrawawl of $85.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 81
		Withdrawal Agent WT8 issued withdrawawl of $83.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 84
Depositor Agent DT3 issued deposit of $438.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 87
		Withdrawal Agent WT7 issued withdrawawl of $83.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 92
Depositor Agent DT2 issued deposit of $437.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 104
		Withdrawal Agent WT6 issued withdrawawl of $84.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 107
		Withdrawal Agent WT10 issued withdrawawl of $77.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 110
		Withdrawal Agent WT1 issued withdrawawl of $85.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 114
		Withdrawal Agent WT7 issued withdrawawl of $95.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 122
		Withdrawal Agent WT6 issued withdrawawl of $84.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 123
Depositor Agent DT3 issued deposit of $472.00 at: 13/02/2024 19:20:59 EST	Transaction Number: 136
		Withdrawal Agent WT9 issued withdrawawl of $83.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 137
		Withdrawal Agent WT8 issued withdrawawl of $81.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 151
		Withdrawal Agent WT3 issued withdrawawl of $78.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 157
		Withdrawal Agent WT9 issued withdrawawl of $97.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 160
Depositor Agent DT3 issued deposit of $397.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 162
		Withdrawal Agent WT6 issued withdrawawl of $83.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 165
		Withdrawal Agent WT3 issued withdrawawl of $89.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 166
		Withdrawal Agent WT1 issued withdrawawl of $83.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 171
		Withdrawal Agent WT3 issued withdrawawl of $90.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 183
Depositor Agent DT1 issued deposit of $368.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 186
		Withdrawal Agent WT1 issued withdrawawl of $82.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 188
Depositor Agent DT3 issued deposit of $371.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 198
		Withdrawal Agent WT4 issued withdrawawl of $92.00 at: 13/02/2024 19:21:00 EST	Transaction Number: 200
